X,Y,OBJECTID,Process_ID,Project,County,Quad,Col_Date,Mvmnt_Date,SM_State,SM_Rate_1,SM_Mat_1,SM_Type_1,SM_Rate_2,SM_Mat_2,SM_Type_2,Slp_Config,Fatalities,Confidence,MapMethod,GlobalID,SHAPE
237797.011589258,205301.562434383,57849,201002061001,Landslide Hazard Mapping,Haywood,Dellwood,2010/02/05,2010/02/05,Active,Extremely rapid (>5 m/sec),Debris,Flow,Extremely rapid (>5 m/sec),,,Embankment - Not road related,,,,{76B64474-3740-418A-8195-6C49D7F9AA99},
208873.212384167,163537.519136643,57850,201002120002,Landslide Hazard Mapping,Macon,Franklin,2010/02/12,2010/02,Active,Slow (>1.6 m/yr),Weathered rock,Slide - rotational,,,,Cut slope - Not road related,,,,{84BEAF40-D75E-4E15-A15D-35E31DE2B681},
203664.556599997,199451.844,57851,1,Geohazards,Swain,Bryson City,1991/01/23,1990/12/23,,,Debris,Slide,Extremely rapid (>5 m/sec),Debris,Flow,Road embankment,,,,{A74BFA3E-F77D-4B74-924B-86028BDFA92C},
196079.903499998,161397.6576,57852,2,Geohazards,Macon,Rainbow Springs,1998/02/24,1995/10/05,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{9BCA23CF-1776-4BA8-B864-DE4E9E2F7AD0},
238270.645599999,201940.348099999,57853,3,Geohazards,Haywood,Dellwood,,,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Unmodified,,,,{1852F907-B41E-488F-93A9-2C21F4BCAEB6},
314610.277308,191374.994700761,57854,4,Geohazards,Rutherford,Lake Lure,1993/11/06,1993,,,Debris,Slide,Extremely rapid (>5 m/sec),Debris,Flow,Road cut,,,,{A5968362-62D7-48AD-A82E-157674A2C4BD},
223739.188500002,195406.853100002,57855,6,Geohazards,Jackson,Whittier,,1990/03/17,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{2A3EC48C-DD4C-40B2-95A4-A8F89548E093},
627147.535499997,225941.16,57856,51,Geohazards,Wake,Cary,1998/07/15,1995,,,Debris,Slide,,,,Embankment - Not road related,,,,{C81782C6-F623-4B2A-8539-B04B1ED7B3A7},
239875.713882207,232334.670100006,57857,52,Geohazards,Haywood,Waterville,2006/03/22,1997/07/01,,,Rock,Slide - translational,,,,Road cut,,,,{CDAF4370-FEAA-4141-B008-2C144EAE3B1E},
374314.538900003,259817.515099999,57858,53,Geohazards,Caldwell,Buffalo Cove,2004/07/23,2003/04/10,,,Debris,Slide,,,,Road cut,,,,{DC1FED05-C566-4E3F-80A3-E922CC66F0EC},
244693.632430014,231945.460872218,57859,54,Geohazards,Haywood,Waterville,,1994/07/09,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{AE9E67F3-5DE5-4FDA-AD0A-E8241A7224EE},
244915.808195864,232251.950107356,57860,55,Geohazards,Haywood,Waterville,,1994/07/09,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{9E63ADD1-6C65-4B0D-93E2-3BC35F83542C},
333887.369900003,222809.211199999,57861,34,Geohazards,McDowell,Marion West,,,,,Rock,Slide,,,,Cut slope - Not road related,,,,{9A91BEA0-402A-4FAD-80FC-79690022FF07},
193417.755277252,191065.28397116,57862,35,Geohazards,Swain,Noland Creek,2004/05/11,2003/05/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{FEADC420-0287-43C5-AB17-080D19609DCE},
195115.5185,185982.2489,57863,36,Geohazards,Swain,Wesser,2004/05/11,2003/05/05-06,,,Debris,Slide,,,,Road cut,,,,{366F0158-BC26-465D-9085-6B9845BB2206},
195127.663699999,185514.170000002,57864,37,Geohazards,Swain,Wesser,2004/06/24,2003/05/05-06,,,Debris,Slide,Extremely rapid (>5 m/sec),Debris,Flow,Cut slope - Not road related,,,,{B3E5DC02-0D6D-4497-80B5-CC48AFDF1DBD},
195222.890314002,185988.307544181,57865,38,Geohazards,Swain,Wesser,2004/05/11,2003/05/05-06,,,Debris,Slide,,,,Cut slope - Not road related,,,,{FA76DFED-2088-4173-9060-F343FBBBFB94},
196072.83204331,186069.915544493,57866,39,Geohazards,Swain,Wesser,2004/06/30,2003/05/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Road embankment,,,,{FEFAF23F-B506-4C2D-B965-EB833A814AE8},
195682.281007642,185938.232911594,57867,40,Geohazards,Swain,Wesser,2004/06/30,2003/05/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Embankment - Not road related,,,,{7D19F240-FFC8-4BDF-9F70-34975673B45C},
196282.755835368,185780.950010792,57868,41,Geohazards,Swain,Wesser,2004/06/24,2003/05/05-06,,Extremely rapid (>5 m/sec),Debris,Flow,,,,Embankment - Not road related,,,,{52BDCE3E-8ADA-461E-8F88-72861BC650A9},
294655.5612,217780.137800001,57869,59,Blue Ridge Parkway,Buncombe,Craggy Pinnacle,2004/01/16,,,,Rock,Slide,,,,Road cut,,,,{2BCB5512-5D8A-4C7B-B904-F4F889CEBEB3},
283597.691299997,199444.660399999,57870,60,Blue Ridge Parkway,Buncombe,Skyland,2004/02/04,,,,Rock,Slide,,,,Road cut,,,,{1D77DE26-60B4-455B-8FEA-E3841B8D65DD},
218352.480800003,199462.0832,57871,61,Geohazards,Swain,Whittier,2004/04/28,2003/05/05-06,,,Rock,Slide - translational,,,,Road cut,,,,{542CDD4A-EAD7-4E6E-AAA7-1B42D09EA628},
332966.022299998,241922.773400001,57872,62,Geohazards,Mitchell,Spruce Pine,2004/03/03,2003/10/03,,,Debris,Slide - translational,,,,Embankment - Not road related,,,,{CEC7AE2B-8901-4194-8B4C-2C9A26C627EC},
