Slope,Elevation,Aspect,PL,PR,V,TWI,SPI,TRI
36.1675,5011.34,344.778,-17.2233,10.1917,1,8.28164,2466.8,0.534318
36.521,4554.55,160.377,13.9412,-13.1988,1,0.300393,0.87064,0.448263
23.7662,4409.65,32.7448,-2.84497,-0.729969,1,2.42963,2.24412,0.562683
26.3401,3703.81,141.057,-7.56331,8.94668,1,4.13698,15.9436,0.53547
39.0633,3681.82,130.917,7.9741,-10.8959,1,2.77368,13.0494,0.409953
11.4887,3760.89,193.762,0.403893,0.356393,1,1.59333,0.196303,0.539863
13.1335,3709.1,138.02,-2.24905,-1.36655,1,1.45533,0.226364,0.492871
32.4157,3806.11,79.3958,-1.45454,-4.92954,1,0.454123,0.70181,0.493766
20.9334,3691.76,198.329,-0.50086,-0.40086,1,0.960945,0.383239,0.511968
35.0285,3693.93,177.881,17.7429,-14.5596,1,0.355321,0.803825,0.497746
19.135,3751.72,153.419,3.89147,-2.57853,1,1.05853,0.344418,0.474724
29.9238,3749.1,153.902,-0.79181,-3.81431,1,1.24553,1.23609,0.496799
29.134,3529.84,118.292,2.19035,0.675353,1,2.19396,2.96843,0.442396
30.4549,3529.38,195.761,10.8001,-8.7174,1,0.531055,0.634975,0.496824
24.4418,3385.72,79.3564,-3.49883,1.38367,1,1.48171,0.930814,0.484414
37.2963,3448.9,109.229,-5.59167,18.9083,1,6.75225,592.265,0.508629
1.3983,3446.02,214.173,0.218883,-1.01862,1,6.48536,0.37208,0.608974
31.1957,3600.86,169.466,1.7389,-1.5986,1,6.19876,196.497,0.50362
36.3256,3654.08,72.9792,-2.12946,-6.38196,1,4.38507,50.8272,0.497348
27.413,3599.4,75.9957,-8.86757,8.09743,1,2.04284,2.17457,0.593325
24.3059,3286.44,177.229,7.50801,-3.80449,1,2.58663,2.77224,0.509091
40.8159,3564.18,235.81,-3.12908,5.58842,1,1.24519,3.34383,0.43314
21.6206,2898.64,232.603,-4.9851,1.3599,1,2.71723,2.39167,0.502477
29.0977,3384.26,82.9264,-7.22139,5.71861,1,1.27916,1.18518,0.396878
37.1277,3349.48,139.94,14.1975,-11.7275,1,1.37693,2.69994,0.545029
21.9864,3126.9,175.597,-5.66371,13.0413,1,2.69872,2.44157,0.335504
31.3704,2873.5,109.95,3.71256,-5.86244,1,0.4948,0.665285,0.558995
27.0573,2652.98,92.7111,0.941529,-0.460971,1,1.36495,1.06755,0.525009
28.3203,2350.08,91.0103,1.75209,6.07459,1,3.10313,6.83443,0.492211
37.1048,2328.94,83.9521,-16.0029,13.6146,1,4.7335,77.301,0.421943
25.7059,2262.75,63.2416,0.282511,-3.15749,1,5.38503,52.2451,0.488607
30.1968,2834.56,151.812,-6.66152,11.7335,1,3.48583,11.9071,0.495747
41.5875,2922.81,54.6242,3.8895,-1.803,1,0.119401,1.16985,0.461081
16.1223,2314.24,160.392,-3.77853,9.82397,1,14.8602,232744.0,0.497608
27.1997,2400.78,213.892,4.1145,-3.318,1,0.665679,0.537707,0.53112
30.8212,2449.14,148.371,-3.35828,9.29922,1,1.20962,1.29385,0.451788
35.0861,2449.06,139.029,-13.4418,16.3932,1,1.4518,2.41883,0.492915
28.1076,4004.17,171.104,-24.5644,16.3881,1,11.7415,37819.6,0.380297
43.9141,4099.83,125.318,1.17867,-0.26133,1,0.731061,2.73728,0.494964
28.8356,3979.03,182.93,0.399561,3.92206,1,0.596813,0.584722,0.519604
52.0419,3749.73,139.344,-8.38149,0.823509,1,3.46525,131.384,0.454009
47.7077,3713.57,147.267,-15.8189,21.5786,1,-0.094656,1.86811,0.371806
35.3731,3700.76,175.918,22.2874,-10.0276,1,0.342553,0.818627,0.573827
26.4425,3569.72,173.429,2.37608,-19.3039,1,5.01599,38.7792,0.491866
26.1951,3540.0,199.739,10.642,-4.54553,1,6.52051,170.489,0.54125
29.9944,4070.64,14.4166,8.04137,0.313872,1,2.15897,3.10134,0.558553
29.9701,4065.43,130.404,9.4947,-13.3628,1,1.64912,1.85851,0.452071
23.9707,3824.85,126.744,0.873154,-8.71935,1,4.27628,14.5217,0.513499
31.7053,3656.32,95.9143,-0.0882359,-2.51074,1,0.481686,0.676756,0.496203
3.37672,3650.56,86.2515,-1.90153,1.75097,1,10.4684,116.808,0.440711
34.5076,3716.11,140.887,6.19831,1.24331,1,5.88412,193.178,0.57698
28.1277,3601.49,137.888,-1.35868,-2.43618,1,2.92887,5.63952,0.530188
19.2034,3263.83,94.1015,1.55925,-3.61825,1,3.00059,2.42102,0.554732
24.9309,3503.76,33.3025,-0.921571,-0.449071,1,2.96329,4.29904,0.520066
28.9482,3469.66,135.966,1.59437,-3.81063,1,4.88263,42.9305,0.525874
30.464,3664.98,82.8326,-3.86573,5.01927,1,2.72791,5.71744,0.486863
32.298,4030.24,92.8611,-4.84561,0.896892,1,2.0681,3.48794,0.532593
31.7268,4061.79,115.52,1.58035,6.04035,1,0.48085,0.677496,0.490963
27.1367,4032.56,105.875,-16.5955,20.782,1,2.27782,2.67982,0.510783
45.2884,4002.52,122.932,-6.14703,2.44047,1,-0.0100686,1.51698,0.544432
17.4202,3497.77,265.739,1.0372,5.6597,1,1.85225,0.618147,0.337784
32.4589,3532.48,47.6645,4.5423,-1.8852,1,4.00781,24.6178,0.497511
37.0434,3498.74,45.9279,-12.4633,5.81418,1,3.27711,17.9164,0.464927
39.3874,3448.98,73.7724,-0.337386,1.81761,1,5.60883,229.139,0.444035
25.3688,3305.41,112.57,4.41303,-0.094468,1,1.84481,1.46653,0.520647
28.5807,3314.26,133.459,-2.95541,2.16459,1,1.30052,1.15433,0.592919
35.7242,3340.03,28.919,-5.54766,3.85484,1,3.6618,23.3544,0.51466
33.2698,3361.85,80.8233,-3.43234,-5.69234,1,1.11456,1.46668,0.499807
30.2223,3751.39,87.5288,-24.2112,8.83128,1,8.28234,1445.14,0.532272
25.1639,3327.41,114.55,-3.99962,1.76538,1,6.34645,129.603,0.480622
40.881,3480.38,47.9768,13.7082,-19.5768,1,4.37838,77.2181,0.557877
30.4507,3112.87,120.642,-3.79796,4.30454,1,0.531219,0.634842,0.548204
21.1195,3286.21,331.028,-15.8656,9.26192,1,7.20315,201.046,0.501302
24.2257,3642.62,222.257,-7.97108,7.48892,1,6.3821,122.376,0.491308
23.7449,3648.62,157.719,3.36952,-2.22048,1,2.61296,2.68985,0.488887
14.0202,3734.13,287.456,-3.40241,-2.76491,1,4.47853,5.34404,0.524283
41.7253,3457.29,114.365,3.67246,7.11246,1,1.21317,3.5406,0.452272
3.78031,3703.13,270.22,-0.256302,0.211198,1,2.71697,0.0630279,0.768065
24.5644,3570.19,149.3,0.0286331,-0.836367,1,2.57464,2.81077,0.501547
11.3556,3698.01,41.8779,-4.5664,-0.0963953,1,4.82418,4.84759,0.0567755
41.8836,3256.69,144.435,-15.4937,0.978793,1,2.67395,15.4996,0.565172
41.3593,3546.62,66.0645,6.50925,1.01675,1,1.51372,4.61217,0.669178
