Slope,Elevation,Aspect,PL,PR,V,TWI,SPI,TRI
8.23568,1091,1.7357,-0.362261,0.375762,0,-0.187433244873,13.0261957234,0.4102
6.01666,1097,16.9275,-0.136301,0.23271,0,2.43233137313,123.313800156,0.547925
11.3278,1133,23.1986,0.0202893,-0.102715,0,-1.89874217426,0,0.49353
17.429,1117,324.09,0.416293,0.170286,0,-1.24938439972,18.8359167496,0.410582
12.9199,1396,26.0754,-0.418213,0.31981,0,1.89757293566,344.088139702,0.533981
10.4444,1259,357.274,0.0974287,1.20446,0,-0.206125359962,22.1199514197,0.471547
4.75493,1313,71.565,0.0615019,0.0615019,0,-1.01981314821,0,0.39209
13.4152,1271,162.897,0.304517,-0.0644939,0,-2.07323346344,0,0.492188
29.7843,1373,174.726,-0.381514,0.479512,0,0.63498098879,600.946123835,0.52275
9.15715,1224,45,-0.553517,0.430513,0,4.04866852223,1484.60117112,0.512686
20.573,1336,337.329,-0.546229,0.560805,0,-1.42801430693,22.5198010305,0.496449
7.74326,1143,69.2277,0.473989,-0.510042,0,-1.51126837715,0,0.553704
15.016,1105,348.69,-0.117604,0.00540017,0,-0.398956588564,40.2365546258,0.412183
7.5499,1108,55.7843,0.0357376,-0.21027,0,-0.79252928143,3.97609026278,0.540666
14.745,1124,60.0184,-0.120987,-0.120987,0,-1.07304867803,15.7908413059,0.579828
13.8694,1198,253.496,0.355692,-0.259326,0,-2.10781996542,0,0.622653
20.1346,1255,153.741,0.427313,-0.31071,0,-2.50316512314,0,0.474343
10.6276,1109,37.4054,0.303892,-0.434131,0,-1.14019574548,5.62918830964,0.552127
3.174,1079,341.565,0,0.369011,0,5.85179666763,1068.01712069,0.464482
5.67609,1096,48.5763,-0.0720022,0.0510016,0,-1.19787282847,0,0.44222
9.1638,1084,47.2026,-0.102744,0.266267,0,-0.583558069226,9.67881980835,0.476668
10.6784,1047,287.592,-1.69507e-17,0.369011,0,0.726717746434,67.8812999144,0.544861
1.77557,1214,171.87,0,0,0,-0.0327727063144,0,0.416382
12.2867,1137,139.899,-0.0600018,-0.0600018,0,-1.28919571611,6.53364575231,0.499629
4.92283,1215,255.256,0.0805887,-0.0424151,0,-0.361532703739,2.58390682175,0.545319
7.28372,1150,275.906,0.246008,-0.123004,0,-0.063085017555,11.5030729124,0.498401
12.3637,1100,163.74,-0.0662328,0.425782,0,-0.0428740572838,39.455200662,0.348364
10.2636,1113,6.95296,-0.339783,0.521244,0,-0.411420210341,16.2964814115,0.455239
4.25489,1109,45,-0.196806,0.0492015,0,1.86434734584,33.4788615035,0.375919
11.6453,1098,178.781,0,0.492015,0,-0.540840685664,18.5481413797,0.347631
11.8483,1103,153.97,-0.565817,0.295209,0,0.694142590595,81.8171053012,0.38425
8.96865,1095,0,-0.0908336,1.0162,0,-0.273985777533,14.2038758483,0.380208
11.4015,1106,180,0,0,0,-0.806790244765,12.0995950763,0.361033
14.5239,1136,113.962,0.360663,0.729674,0,-1.05726381188,15.5435422823,0.434334
13.5585,1103,297.031,0.033001,0.402012,0,0.112964972126,57.8771828597,0.364754
8.83137,1192,343.61,-0.306786,0.0622254,0,-0.258310535373,13.9829627314,0.550255
11.3278,1100,336.801,-0.16966,0.0763472,0,2.05250154433,306.491519507,0.455357
9.18374,1094,12.5288,-0.0795024,-0.0795024,0,-0.991233982113,4.85012072394,0.396889
15.2023,1106,252.15,0.444614,0.567617,0,-1.51048816957,8.15195080297,0.608276
3.56539,1054,50.7106,-0.0922528,0.153755,0,2.82445306068,63.5532543831,0.391818
8.38333,1105,30.3791,0.0738023,-0.172205,0,-0.898600483726,4.42101870913,0.541787
2.51023,1063,90,0,-0.123004,0,2.39324241527,19.7276106566,0.305415
7.01579,1050,355.914,-0.127924,0.364091,0,-0.312897893837,7.38373729081,0.345554
15.6801,1064,181.79,0,0.246008,0,-1.54298510086,8.42121517945,0.54098
17.4832,1089,214.796,0.386084,-0.474942,0,-1.25268856899,18.8982566082,0.677263
2.15974,1044,35.5377,0,0,0,3.53240635318,47.5169309678,0.257729
5.2303,1066,163.301,-0.0933132,0.275698,0,0.676177153296,13.7308188701,0.334668
0.502355,1073,270,0.246008,-0.123004,0,1.23009160282,0,0.46814
8.7199,1076,30.9638,0.0884522,-0.0345516,0,-0.53308857025,9.20245689217,0.543809
4.608,1088,22.3801,0.123004,-0.369011,0,-0.988284120329,0,0.563808
13.9323,1092,46.4321,-0.502671,0.973374,0,-0.72623226512,22.3262018502,0.47643
14.6626,1073,31.293,-0.250264,-0.619275,0,-2.16579992607,0,0.444737
5.66511,1077,225,0.144004,-0.225007,0,-1.19592346137,0,0.5
5.85955,1070,199.983,0.295209,0.0492015,0,-1.22989879777,0,0.330322
5.89132,1106,167.735,0.178355,-0.559667,0,-1.23534354992,0,0.745333
12.1848,1056,95.8263,0.246008,1.23004,0,-1.28061350037,6.47781258132,0.391763
3.03223,1063,114.444,0,0,0,0.530047838839,3.17826141709,0.301201
8.89342,1149,11.3099,0.102753,-0.143254,0,-0.958572373467,4.69426713555,0.554318
24.2377,1076,157.681,0.271977,0.271977,0,-2.70851216067,0,0.375934
7.24972,1073,1.97493,-0.128681,-0.0056771,0,1.44572060085,64.8766026543,0.546971
9.77404,967,194.744,-0.521355,0.831686,0,4.08990336582,1767.39185893,0.437699
11.3278,1111,203.199,0.458083,-0.27994,0,-1.89874217426,0,0.357682
11.8935,1058,87.6141,-0.122155,0.000848302,0,-0.85021717225,12.6366190688,0.496286
23.7231,1060,241.39,0.575062,-0.900983,0,-1.99117845731,13.1832394119,0.509572
14.745,1083,88.0909,-0.056771,-0.302779,0,-1.47851378614,7.89542065294,0.418648
19.7728,1098,282.68,-1.26694,1.68515,0,-0.0855851692845,107.844119934,0.476805
9.29585,1055,110.376,0.132678,-0.236333,0,-1.00358026736,4.91037284216,0.476059
10.7459,1073,276.633,-0.125549,-0.248552,0,-0.746064129363,11.3866990368,0.449636
9.39358,1076,212.005,0.34828,-0.512746,0,-1.70737372288,0,0.600683
