Area Maximum,Valid Landslide,Latitude,Longitude,X Coordinate,Y Coordinate,slope,land_cover
200.0,1,-36.819859,174.746298,1755751.32,5923688.18,town,Sand or Gravel
1.0,1,-36.798134,174.684934,1750320.38,5926196.78,town,Sand or Gravel
200.0,1,-36.932751,174.744548,1755366.36,5911166.22,town,Sand or Gravel
1.2,1,-36.852885,174.792092,1759767.32,5919948.56,town,Sand or Gravel
300.0,1,-36.809204,174.718141,1753261.08,5924915.819999999,town,Sand or Gravel
400.0,1,-36.828798,174.774452,1758244.24,5922650.2,town,Sand or Gravel
600.0,1,-36.806508,174.690836,1750830.53,5925258.359999999,town,Sand or Gravel
82.0,1,-36.929127,174.70183,1751568.85,5911637.03,town,Sand or Gravel
290.0,1,-36.729056,174.733944,1754831.96,5933782.31,town,Sand or Gravel
200.0,1,-36.932751,174.744548,1755366.36,5911166.22,town,Sand or Gravel
70.0,1,-36.930671,174.7356,1754573.56,5911411.53,town,Sand or Gravel
300.0,1,-36.809761,174.718009,1753248.23,5924854.3,town,Sand or Gravel
220.0,1,-36.911915,174.607494,1743198.55,5913692.52,D    +C,Sand or Gravel
150.0,1,-36.814291,174.713282,1752817.51,5924359.31,town,Sand or Gravel
46.0,1,-36.823535,174.618476,1744343.19,5923481.14,B,Sand or Gravel
1.1,1,-36.616785,174.561835,1739665.23,5946501.95,D    +E,Low Producing Grassland
46.0,1,-36.62694,174.522791,1736155.66,5945431.430000001,D    +E,Low Producing Grassland
46.0,1,-36.624394,174.517157,1735656.39,5945721.94,D    +E,Low Producing Grassland
1.1,1,-36.608993,174.509634,1735010.46,5947441.03,D    +E,Low Producing Grassland
225.0,1,-36.624783,174.544033,1738058.94,5945640.46,E,Low Producing Grassland
1.1,1,-36.625821,174.518447,1735769.18,5945561.79,A,Low Producing Grassland
225.0,1,-36.622221,174.519426,1735863.05,5945959.81,D    +E,Low Producing Grassland
46.0,1,-36.623333,174.522023,1736093.37,5945832.68,D    +E,Low Producing Grassland
225.0,1,-36.623376,174.523843,1736255.99,5945825.39,D    +E,Low Producing Grassland
46.0,1,-36.620044,174.523236,1736207.6,5946195.84,D    +E,Low Producing Grassland
1.1,1,-36.616358,174.524868,1736360.05,5946602.45,D    +E,Low Producing Grassland
46.0,1,-36.620823,174.529734,1736787.35,5946100.22,D    +E,Low Producing Grassland
46.0,1,-36.612766,174.564838,1739941.06,5946943.51,D    +E,Low Producing Grassland
46.0,1,-36.765724,174.664973,1748602.0,5929823.6,D    +E,Sand or Gravel
225.0,1,-36.768025,174.6608,1748225.06,5929574.75,D    +C,Sand or Gravel
46.0,1,-36.768272,174.645939,1746898.22,5929570.31,C,Sand or Gravel
46.0,1,-36.76848,174.645877,1746892.24,5929547.29,C,Sand or Gravel
46.0,1,-36.768626,174.645636,1746870.42,5929531.45,C,Sand or Gravel
225.0,1,-36.779877,174.665992,1748665.58,5928251.83,town,Sand or Gravel
225.0,1,-36.779445,174.665259,1748601.05,5928300.87,,Sand or Gravel
225.0,1,-36.776245,174.661475,1748269.47,5928661.819999999,,Sand or Gravel
46.0,1,-36.77648,174.661782,1748296.49,5928635.22,,Sand or Gravel
46.0,1,-36.775504,174.630557,1745511.54,5928791.430000001,,Sand or Gravel
46.0,1,-36.775942,174.633164,1745743.38,5928738.85,B,Sand or Gravel
46.0,1,-36.781947,174.645609,1746842.61,5928053.659999999,town,Sand or Gravel
46.0,1,-36.782731,174.645507,1746832.03,5927966.87,town,Sand or Gravel
2.0,1,-36.807003,174.622226,1744708.76,5925309.49,C    +B,Sand or Gravel
9.0,1,-36.807022,174.622272,1744712.82,5925307.359999999,C    +B,Sand or Gravel
9.0,1,-36.807042,174.622378,1744722.28,5925304.99,C    +B,Sand or Gravel
46.0,1,-36.805733,174.611716,1743773.54,5925466.23,B,Sand or Gravel
46.0,1,-36.792437,174.599676,1742724.16,5926959.44,B,Sand or Gravel
225.0,1,-36.793298,174.600145,1742764.37,5926863.13,B,Sand or Gravel
46.0,1,-36.790439,174.591773,1742022.68,5927192.8,C,Sand or Gravel
9.0,1,-36.78887,174.59212,1742056.5,5927366.41,C,Sand or Gravel
9.0,1,-36.789114,174.592042,1742049.09,5927339.42,C,Sand or Gravel
225.0,1,-36.788806,174.591333,1741986.39,5927374.609999999,C,Sand or Gravel
46.0,1,-36.613445,174.564756,1739932.5,5946868.2,D    +E,Low Producing Grassland
225.0,1,-36.621646,174.54964,1738565.92,5945980.319999999,E,Low Producing Grassland
46.0,1,-36.624693,174.544065,1738061.96,5945650.33,E,Low Producing Grassland
225.0,1,-36.624016,174.544646,1738115.14,5945724.68,E,Low Producing Grassland
9.0,1,-36.623655,174.542724,1737943.89,5945767.45,C    +D,Low Producing Grassland
46.0,1,-36.623919,174.542617,1737933.83,5945738.35,C    +D,Low Producing Grassland
1.1,1,-36.623856,174.543056,1737973.25,5945744.7,C    +D,Low Producing Grassland
9.0,1,-36.627269,174.519268,1735840.1,5945399.95,D    +E,Low Producing Grassland
9.0,1,-36.627228,174.519158,1735830.31,5945404.71,D    +E,Low Producing Grassland
9.0,1,-36.627723,174.521834,1736068.7,5945345.970000001,D    +E,Low Producing Grassland
225.0,1,-36.627625,174.523711,1736236.74,5945354.18,D    +E,Low Producing Grassland
46.0,1,-36.626692,174.523302,1736201.82,5945458.24,D    +E,Low Producing Grassland
46.0,1,-36.62727,174.522696,1736146.57,5945394.95,D    +E,Low Producing Grassland
225.0,1,-36.625058,174.522058,1736093.46,5945641.25,D    +E,Low Producing Grassland
9.0,1,-36.625314,174.522034,1736090.81,5945612.94,D    +E,Low Producing Grassland
9.0,1,-36.625086,174.521411,1736035.51,5945639.13,D    +E,Low Producing Grassland
9.0,1,-36.625024,174.521217,1736018.32,5945646.28,D    +E,Low Producing Grassland
225.0,1,-36.624816,174.520867,1735987.36,5945669.819999999,D    +E,Low Producing Grassland
46.0,1,-36.624625,174.519751,1735887.88,5945692.58,D    +E,Low Producing Grassland
225.0,1,-36.623076,174.529706,1736780.86,5945850.34,D    +E,Low Producing Grassland
225.0,1,-36.622982,174.527665,1736598.5,5945863.64,D    +E,Low Producing Grassland
46.0,1,-36.622369,174.519487,1735868.25,5945943.28,D    +E,Low Producing Grassland
225.0,1,-36.621429,174.522814,1736167.46,5946042.79,D    +E,Low Producing Grassland
225.0,1,-36.62057,174.522607,1736150.39,5946138.44,D    +E,Low Producing Grassland
1.1,1,-36.62084,174.524051,1736279.08,5946106.359999999,D    +E,Low Producing Grassland
46.0,1,-36.620879,174.526229,1736473.75,5946098.99,D    +E,Low Producing Grassland
9.0,1,-36.620669,174.527162,1736557.62,5946120.95,D    +E,Low Producing Grassland
225.0,1,-36.621025,174.527291,1736568.47,5946081.26,D    +E,Low Producing Grassland
46.0,1,-36.619171,174.533281,1737107.43,5946278.46,D    +E,Low Producing Grassland
9.0,1,-36.619616,174.527902,1736625.61,5946236.74,D    +E,Low Producing Grassland
46.0,1,-36.619305,174.529233,1736745.2,5946269.29,D    +E,Low Producing Grassland
46.0,1,-36.619429,174.528956,1736720.23,5946255.95,D    +E,Low Producing Grassland
9.0,1,-36.620627,174.529581,1736773.99,5946122.18,D    +E,Low Producing Grassland
9.0,1,-36.620164,174.528753,1736700.75,5946174.67,D    +E,Low Producing Grassland
9.0,1,-36.619872,174.528653,1736692.29,5946207.27,D    +E,Low Producing Grassland
46.0,1,-36.619765,174.528471,1736676.2,5946219.33,D    +E,Low Producing Grassland
9.0,1,-36.61928,174.527509,1736591.11,5946274.58,D    +E,Low Producing Grassland
225.0,1,-36.619747,174.527876,1736623.07,5946222.27,D    +E,Low Producing Grassland
9.0,1,-36.619677,174.526883,1736534.36,5946231.41,D    +E,Low Producing Grassland
225.0,1,-36.618929,174.52955,1736774.17,5946310.55,D    +E,Low Producing Grassland
9.0,1,-36.618671,174.527969,1736633.29,5946341.41,D    +E,Low Producing Grassland
46.0,1,-36.618853,174.528166,1736650.61,5946321.01,D    +E,Low Producing Grassland
46.0,1,-36.618172,174.527914,1736629.23,5946396.9,D    +E,Low Producing Grassland
225.0,1,-36.614062,174.533138,1737103.74,5946845.39,D    +E,Low Producing Grassland
225.0,1,-36.616673,174.527656,1736608.85,5946563.56,D    +E,Low Producing Grassland
225.0,1,-36.615092,174.529413,1736768.7,5946736.44,D    +E,Low Producing Grassland
225.0,1,-36.615971,174.5278,1736622.91,5946641.19,D    +E,Low Producing Grassland
46.0,1,-36.618824,174.523871,1736266.52,5946330.31,D    +E,Low Producing Grassland
46.0,1,-36.616707,174.522779,1736172.62,5946566.68,D    +E,Low Producing Grassland
46.0,1,-36.611457,174.550926,1738699.22,5947108.9,D    +E,Low Producing Grassland
46.0,1,-36.610079,174.549756,1738596.98,5947263.44,E    +F,Low Producing Grassland
46.0,1,-36.615793,174.546788,1738321.38,5946633.83,D    +E,Low Producing Grassland
46.0,1,-36.615921,174.546865,1738328.0,5946619.54,D    +E,Low Producing Grassland
9.0,1,-36.618343,174.540868,1737787.39,5946359.38,C    +D,Low Producing Grassland
46.0,1,-36.778447,174.666665,1748728.46,5928409.4,town,Sand or Gravel
46.0,1,-36.776359,174.667099,1748771.23,5928640.44,C    +D,Sand or Gravel
46.0,1,-36.776791,174.666256,1748695.14,5928593.75,C    +D,Sand or Gravel
46.0,1,-36.771122,174.665545,1748642.59,5929223.83,C    +D,Sand or Gravel
46.0,1,-36.782248,174.653558,1747551.44,5928008.04,town,Sand or Gravel
0.0,1,-36.785372,174.643749,1746670.11,5927676.53,town,Sand or Gravel
225.0,1,-36.782213,174.645667,1746847.25,5928024.1,town,Sand or Gravel
9.0,1,-36.780784,174.645623,1746846.09,5928182.7,town,Sand or Gravel
9.0,1,-36.779139,174.646163,1746897.45,5928364.3,town,Sand or Gravel
9.0,1,-36.778054,174.645028,1746798.2,5928486.49,estu,Sand or Gravel
9.0,1,-36.77768,174.642699,1746591.07,5928531.53,estu,Sand or Gravel
46.0,1,-36.777893,174.64286,1746605.04,5928507.64,estu,Sand or Gravel
9.0,1,-36.775462,174.644225,1746731.45,5928775.19,town,Sand or Gravel
225.0,1,-36.776341,174.633689,1745789.55,5928693.87,B,Sand or Gravel
46.0,1,-36.775554,174.630801,1745533.28,5928785.52,,Sand or Gravel
46.0,1,-36.766062,174.649903,1747256.22,5929809.34,D    +C,Sand or Gravel
46.0,1,-36.767472,174.649456,1747213.59,5929653.59,D    +C,Sand or Gravel
46.0,1,-36.768261,174.652426,1747477.22,5929561.49,D    +C,Sand or Gravel
46.0,1,-36.769193,174.654315,1747644.01,5929455.24,D    +C,Sand or Gravel
46.0,1,-36.770047,174.659464,1748101.99,5929352.54,D    +C,Sand or Gravel
46.0,1,-36.765138,174.669005,1748963.05,5929882.27,B    +C,Sand or Gravel
225.0,1,-36.771463,174.66283,1748399.69,5929190.149999999,,Sand or Gravel
225.0,1,-36.771683,174.662651,1748383.29,5929166.07,,Sand or Gravel
46.0,1,-36.780278,174.670656,1749081.09,5928200.04,town,Sand or Gravel
46.0,1,-36.781058,174.670757,1749088.52,5928113.37,C    +D,Sand or Gravel
225.0,1,-36.777255,174.661575,1748276.5,5928549.619999999,town,Sand or Gravel
46.0,1,-36.7775,174.661492,1748268.64,5928522.470000001,town,Sand or Gravel
46.0,1,-36.777785,174.661322,1748252.9,5928491.14,,Sand or Gravel
225.0,1,-36.77909,174.665592,1748631.46,5928339.76,town,Sand or Gravel
225.0,1,-36.778851,174.665762,1748647.02,5928365.95,town,Sand or Gravel
46.0,1,-36.778695,174.665874,1748657.34,5928383.149999999,town,Sand or Gravel
225.0,1,-36.778532,174.665998,1748668.73,5928401.03,,Sand or Gravel
46.0,1,-36.808112,174.708308,1752386.04,5925052.67,town,Sand or Gravel
9.0,1,-36.808078,174.708224,1752378.63,5925056.64,town,Sand or Gravel
46.0,1,-36.807937,174.70793,1752352.7,5925072.78,town,Sand or Gravel
225.0,1,-36.807494,174.690873,1750831.87,5925148.98,town,Sand or Gravel
225.0,1,-36.80757,174.687536,1750534.09,5925145.81,,Sand or Gravel
133.0,1,-36.807667,174.687781,1750555.71,5925134.619999999,town,Sand or Gravel
46.0,1,-36.787039,174.682871,1750157.97,5927430.88,,Sand or Gravel
46.0,1,-36.794154,174.783225,1759098.4,5926479.22,,Sand or Gravel
9.0,1,-36.794298,174.783356,1759109.77,5926463.08,town,Sand or Gravel
9.0,1,-36.794691,174.783564,1759127.5,5926419.159999999,town,Sand or Gravel
46.0,1,-36.794121,174.783201,1759096.28,5926482.92,,Sand or Gravel
46.0,1,-36.794445,174.783455,1759118.24,5926446.57,town,Sand or Gravel
46.0,1,-36.794706,174.783573,1759128.29,5926417.46,town,Sand or Gravel
46.0,1,-36.795266,174.783868,1759153.43,5926354.76,town,Sand or Gravel
46.0,1,-36.796583,174.785835,1759326.2,5926205.37,,Sand or Gravel
46.0,1,-36.798025,174.787167,1759442.09,5926043.18,town,Sand or Gravel
225.0,1,-36.798078,174.787174,1759442.62,5926037.359999999,town,Sand or Gravel
9.0,1,-36.797692,174.786664,1759397.9,5926081.02,town,Sand or Gravel
46.0,1,-36.797661,174.786631,1759394.99,5926084.46,town,Sand or Gravel
46.0,1,-36.797153,174.785878,1759328.85,5926142.14,town,Sand or Gravel
46.0,1,-36.797011,174.78613,1759351.6,5926157.48,,Sand or Gravel
46.0,1,-36.796662,174.785999,1759340.71,5926196.38,,Sand or Gravel
225.0,1,-36.796193,174.784963,1759249.21,5926250.09,town,Sand or Gravel
225.0,1,-36.932072,174.725932,1753709.63,5911271.8,town,Sand or Gravel
46.0,1,-36.933186,174.725048,1753628.66,5911149.56,town,Sand or Gravel
46.0,1,-36.932266,174.725315,1753654.33,5911251.159999999,town,Sand or Gravel
46.0,1,-36.932013,174.724403,1753573.63,5911280.79,town,Sand or Gravel
46.0,1,-36.932007,174.724629,1753593.74,5911281.06,town,Sand or Gravel
46.0,1,-36.931935,174.724327,1753567.02,5911289.52,town,Sand or Gravel
46.0,1,-36.934811,174.723531,1753490.29,5910971.76,town,Sand or Gravel
9.0,1,-36.911246,174.690766,1750618.55,5913638.46,town,Sand or Gravel
46.0,1,-36.913556,174.691878,1750713.01,5913380.39,town,Sand or Gravel
46.0,1,-36.899275,174.783482,1758903.5,5914816.06,town,Sand or Gravel
46.0,1,-36.898996,174.783486,1758904.46,5914847.08,town,Sand or Gravel
46.0,1,-36.899084,174.783632,1758917.25,5914837.07,town,Sand or Gravel
46.0,1,-36.899731,174.779804,1758574.81,5914771.609999999,town,Sand or Gravel
46.0,1,-36.899898,174.779649,1758560.69,5914753.38,town,Sand or Gravel
225.0,1,-36.900049,174.779455,1758543.12,5914736.98,town,Sand or Gravel
46.0,1,-36.900246,174.779327,1758531.25,5914715.25,town,Sand or Gravel
46.0,1,-36.900336,174.779278,1758526.7,5914705.41,town,Sand or Gravel
225.0,1,-36.901001,174.780272,1758613.88,5914629.95,town,Sand or Gravel
9.0,1,-36.90087,174.780595,1758642.98,5914643.92,town,Sand or Gravel
46.0,1,-36.900931,174.780664,1758649.01,5914637.04,town,Sand or Gravel
46.0,1,-36.900479,174.779358,1758533.55,5914689.35,town,Sand or Gravel
9.0,1,-36.900797,174.78111,1758688.98,5914651.22,town,Sand or Gravel
46.0,1,-36.901188,174.781416,1758715.49,5914607.319999999,town,Sand or Gravel
46.0,1,-36.901115,174.781425,1758716.45,5914615.42,town,Sand or Gravel
9.0,1,-36.901175,174.782386,1758801.89,5914607.14,town,Sand or Gravel
9.0,1,-36.901968,174.782489,1758809.41,5914519.02,town,Sand or Gravel
9.0,1,-36.916503,174.766193,1757327.57,5912933.37,town,Sand or Gravel
46.0,1,-36.899026,174.780949,1758678.33,5914847.99,town,Sand or Gravel
46.0,1,-36.924632,174.721076,1753292.05,5912105.04,town,Sand or Gravel
9.0,1,-36.92435,174.720308,1753224.17,5912137.48,town,Sand or Gravel
46.0,1,-36.924816,174.718155,1753031.53,5912089.27,town,Sand or Gravel
9.0,1,-36.92459,174.718265,1753041.74,5912114.119999999,town,Sand or Gravel
46.0,1,-36.926031,174.716942,1752921.0,5911956.470000001,town,Sand or Gravel
46.0,1,-36.925663,174.716837,1752912.43,5911997.430000001,town,Sand or Gravel
9.0,1,-36.926333,174.713269,1752593.22,5911928.84,town,Sand or Gravel
9.0,1,-36.926383,174.712934,1752563.28,5911923.83,town,Sand or Gravel
46.0,1,-36.925502,174.710452,1752343.97,5912025.51,town,Sand or Gravel
46.0,1,-36.932849,174.685166,1750077.24,5911250.51,town,Sand or Gravel
46.0,1,-36.932866,174.685042,1750066.19,5911248.79,town,Sand or Gravel
46.0,1,-36.932848,174.684813,1750045.81,5911251.18,town,Sand or Gravel
46.0,1,-36.932826,174.684699,1750035.76,5911253.819999999,town,Sand or Gravel
9.0,1,-36.932857,174.685461,1750103.52,5911249.149999999,town,Sand or Gravel
46.0,1,-36.932836,174.685624,1750118.07,5911251.26,town,Sand or Gravel
46.0,1,-36.932774,174.685902,1750142.94,5911257.609999999,town,Sand or Gravel
46.0,1,-36.932749,174.685993,1750151.14,5911260.26,town,Sand or Gravel
46.0,1,-36.932862,174.686281,1750176.54,5911247.29,town,Sand or Gravel
46.0,1,-36.932803,174.686395,1750186.86,5911253.64,town,Sand or Gravel
46.0,1,-36.932791,174.686784,1750221.52,5911254.44,town,Sand or Gravel
46.0,1,-36.932617,174.687259,1750264.12,5911272.96,town,Sand or Gravel
46.0,1,-36.931663,174.690432,1750548.61,5911373.83,town,Sand or Gravel
9.0,1,-36.931705,174.690726,1750574.71,5911368.69,town,Sand or Gravel
9.0,1,-36.931725,174.690664,1750569.16,5911366.57,town,Sand or Gravel
9.0,1,-36.931682,174.690815,1750582.65,5911371.07,town,Sand or Gravel
9.0,1,-36.931623,174.69147,1750641.12,5911376.619999999,town,Sand or Gravel
9.0,1,-36.931619,174.69171,1750662.55,5911376.619999999,town,Sand or Gravel
9.0,1,-36.931736,174.692079,1750695.15,5911363.13,town,Sand or Gravel
9.0,1,-36.931783,174.692282,1750713.14,5911357.57,town,Sand or Gravel
9.0,1,-36.931766,174.691979,1750686.16,5911359.95,town,Sand or Gravel
9.0,1,-36.931822,174.692375,1750721.35,5911353.07,town,Sand or Gravel
9.0,1,-36.931829,174.692532,1750735.37,5911352.02,town,Sand or Gravel
46.0,1,-36.932024,174.692899,1750767.65,5911329.79,town,Sand or Gravel
9.0,1,-36.93209,174.693237,1750797.58,5911321.96,town,Sand or Gravel
225.0,1,-36.93221,174.693413,1750813.03,5911308.41,town,Sand or Gravel
46.0,1,-36.93229,174.694071,1750871.45,5911298.46,town,Sand or Gravel
46.0,1,-36.932389,174.694367,1750897.7,5911287.03,town,Sand or Gravel
46.0,1,-36.932289,174.694952,1750949.98,5911297.19,town,Sand or Gravel
46.0,1,-36.931854,174.696156,1751058.03,5911343.48,town,Sand or Gravel
46.0,1,-36.931854,174.699537,1751359.19,5911338.21,town,Sand or Gravel
46.0,1,-36.931711,174.699671,1751371.41,5911353.77,town,Sand or Gravel
225.0,1,-36.931341,174.701854,1751566.54,5911391.38,,Sand or Gravel
46.0,1,-36.927919,174.704011,1751765.45,5911767.609999999,town,Sand or Gravel
46.0,1,-36.927975,174.704141,1751776.96,5911761.26,town,Sand or Gravel
46.0,1,-36.927407,174.702775,1751656.44,5911826.42,town,Sand or Gravel
46.0,1,-36.927326,174.705034,1751857.74,5911831.79,town,Sand or Gravel
46.0,1,-36.92825,174.708844,1752195.28,5911723.23,town,Sand or Gravel
225.0,1,-36.928,174.709324,1752238.57,5911750.14,town,Sand or Gravel
46.0,1,-36.927527,174.709273,1752234.92,5911802.68,town,Sand or Gravel
46.0,1,-36.930626,174.711931,1752465.55,5911454.67,town,Sand or Gravel
46.0,1,-36.930738,174.711921,1752464.44,5911442.29,town,Sand or Gravel
9.0,1,-36.930999,174.711945,1752466.0,5911413.26,town,Sand or Gravel
9.0,1,-36.931091,174.711977,1752468.66,5911402.970000001,town,Sand or Gravel
9.0,1,-36.929665,174.711885,1752463.37,5911561.35,town,Sand or Gravel
9.0,1,-36.929558,174.711731,1752449.83,5911573.41,town,Sand or Gravel
9.0,1,-36.933306,174.713335,1752585.2,5911155.05,town,Sand or Gravel
46.0,1,-36.93352,174.714207,1752662.46,5911129.91,town,Sand or Gravel
46.0,1,-36.933748,174.713784,1752624.37,5911105.31,town,Sand or Gravel
225.0,1,-36.934044,174.713947,1752638.23,5911072.24,town,Sand or Gravel
46.0,1,-36.934287,174.714286,1752668.0,5911044.7,town,Sand or Gravel
46.0,1,-36.934845,174.715446,1752770.14,5910980.98,town,Sand or Gravel
9.0,1,-36.934816,174.71705,1752913.08,5910981.56,town,Sand or Gravel
46.0,1,-36.935088,174.717926,1752990.55,5910950.02,town,Sand or Gravel
46.0,1,-36.935659,174.719742,1753151.2,5910883.77,town,Sand or Gravel
46.0,1,-36.936335,174.720721,1753237.03,5910807.22,town,Sand or Gravel
46.0,1,-36.936189,174.721386,1753296.49,5910822.27,town,Sand or Gravel
46.0,1,-36.936261,174.721333,1753291.62,5910814.39,town,Sand or Gravel
9.0,1,-36.936459,174.721196,1753279.08,5910792.64,town,Sand or Gravel
9.0,1,-36.936663,174.720942,1753256.06,5910770.41,town,Sand or Gravel
46.0,1,-36.936407,174.721335,1753291.5,5910798.21,town,Sand or Gravel
46.0,1,-36.93658,174.721336,1753291.3,5910778.99,town,Sand or Gravel
46.0,1,-36.936603,174.72123,1753281.78,5910776.609999999,town,Sand or Gravel
46.0,1,-36.937042,174.722068,1753355.52,5910726.53,town,Sand or Gravel
46.0,1,-36.936536,174.722937,1753433.98,5910781.26,town,Sand or Gravel
9.0,1,-36.936196,174.7233,1753466.96,5910818.42,town,Sand or Gravel
46.0,1,-36.934665,174.724896,1753612.18,5910985.78,town,Sand or Gravel
46.0,1,-36.936645,174.722276,1753374.83,5910770.29,town,Sand or Gravel
9.0,1,-36.934397,174.725643,1753679.26,5911014.25,town,Sand or Gravel
9.0,1,-36.933112,174.728115,1753901.98,5911152.79,town,Sand or Gravel
46.0,1,-36.933213,174.728387,1753926.06,5911141.149999999,town,Sand or Gravel
9.0,1,-36.933338,174.728473,1753933.47,5911127.13,town,Sand or Gravel
46.0,1,-36.934775,174.727532,1753846.75,5910969.27,town,Sand or Gravel
9.0,1,-36.934682,174.727849,1753875.16,5910979.109999999,town,Sand or Gravel
46.0,1,-36.935579,174.727961,1753883.32,5910879.430000001,town,Sand or Gravel
46.0,1,-36.935838,174.727979,1753884.38,5910850.59,town,Sand or Gravel
0.0,1,-36.935299,174.728721,1753951.58,5910909.22,town,Sand or Gravel
46.0,1,-36.935472,174.729034,1753979.1,5910889.49,town,Sand or Gravel
225.0,1,-36.93517,174.72962,1754031.88,5910922.03,town,Sand or Gravel
46.0,1,-36.936253,174.728171,1753900.65,5910804.29,town,Sand or Gravel
46.0,1,-36.936867,174.728093,1753892.45,5910736.29,town,Sand or Gravel
46.0,1,-36.93716,174.728495,1753927.69,5910703.119999999,town,Sand or Gravel
46.0,1,-36.935139,174.730154,1754079.51,5910924.68,town,Sand or Gravel
46.0,1,-36.937302,174.728781,1753952.86,5910686.930000001,town,Sand or Gravel
46.0,1,-36.937828,174.728843,1753957.39,5910628.48,town,Sand or Gravel
46.0,1,-36.937763,174.729173,1753986.83,5910635.1,town,Sand or Gravel
