Area Maximum,Valid Landslide,Activity Velocity,Angle Rupture Surface,Angle Slope Displaced,Angle Slope Prior,Area Minimum,Latitude,Longitude,Length,Scarp,Travel Angle,Volume Maximum,Volume Minimum,Width,Width Rupture,X Coordinate,Y Coordinate
200,1,Extremely Rapid,32,32,35,100,-36.819859,174.746298,20,4,32,200,100,45,45,1755751.32,5923688.18
1,1,Extremely Rapid,40,35,45,600,-36.798134,174.684934,30,5,30,"2,000",1,40,40,1750320.3800000001,5926196.78
1.2,1,Extremely Rapid,40,10,45,800,-36.852885,174.792092,75,1,53,600,200,30,30,1759767.32,5919948.56
300,1,Rapid,35,30,30,200,-36.809204,174.718141,10,2,25,150,80,10,13,1753261.08,5924915.819999999
600,1,Unknown,50,30,30,200,-36.806508,174.690836,50,2,30,"1,250",750,20,20,1750830.53,5925258.359999999
300,1,Extremely Rapid; Very Rapid,35,30,25,200,-36.809761,174.718009,20,2,25,150,80,17,20,1753248.23,5924854.3
150,1,Rapid,45,45,45,100,-36.814291,174.713282,25,1,45,225,100,8,8,1752817.51,5924359.31
350,1,Extremely Rapid,32,28,35,250,-36.790216,174.708104,30,4,30,"1,400",800,16,16,1752403.36,5927038.48
550,1,Extremely Rapid,35,30,35,450,-36.814006,174.713944,20,2,25,600,500,25,25,1752877.1600000001,5924389.8
800,1,Extremely Rapid,40,10,45,500,-36.853101,174.792299,45,1,53,400,100,17,17,1759785.3900000001,5919924.26
4,1,Very Slow,7,10,10,1.8,-36.542706,174.58621,135,0,7,"3,600,000",900,45,45,1741980.75,5954684.37
1.1,1,Extremely Rapid,35,40,35,850,-36.944683,174.663084,50,5,28,"2,000",1.35,25,25,1748087.59,5909972.119999999
NA,0,NA,NA,NA,NA,NA,-36.888680848293006,174.78543439865112,NA,NA,NA,NA,NA,NA,NA,1759099.4795204643,5915988.238651234
NA,0,NA,NA,NA,NA,NA,-36.76648077890277,174.66113299442455,NA,NA,NA,NA,NA,NA,NA,1748257.781748613,5929745.565996513
NA,0,NA,NA,NA,NA,NA,-36.74066015481949,174.7042144406028,NA,NA,NA,NA,NA,NA,NA,1752154.164093613,5932542.560161717
NA,0,NA,NA,NA,NA,NA,-36.987900520954284,174.77073739388956,NA,NA,NA,NA,NA,NA,NA,1757585.2009269542,5905004.525537686
NA,0,NA,NA,NA,NA,NA,-36.75363573841751,174.79293845336883,NA,NA,NA,NA,NA,NA,NA,1760049.3059966136,5930958.325109368
NA,0,NA,NA,NA,NA,NA,-36.662524110637605,174.6156853189133,NA,NA,NA,NA,NA,NA,NA,1744395.696853732,5941348.033259429
NA,0,NA,NA,NA,NA,NA,-36.81651479098946,174.95149712808427,NA,NA,NA,NA,NA,NA,NA,1774062.443602495,5923705.16756834
NA,0,NA,NA,NA,NA,NA,-36.78156047910452,174.65216783382,NA,NA,NA,NA,NA,NA,NA,1747428.6802130968,5928086.443677718
NA,0,NA,NA,NA,NA,NA,-36.70714345574379,174.78077893959357,NA,NA,NA,NA,NA,NA,NA,1759059.6752998396,5936136.610456936
NA,0,NA,NA,NA,NA,NA,-36.766636091470716,174.7627295240201,NA,NA,NA,NA,NA,NA,NA,1757325.851024664,5929566.106081005
NA,0,NA,NA,NA,NA,NA,-36.76639686655253,174.85962057694792,NA,NA,NA,NA,NA,NA,NA,1765974.8623680505,5929428.954046691
NA,0,NA,NA,NA,NA,NA,-36.91613063877449,174.81172215756027,NA,NA,NA,NA,NA,NA,NA,1761384.348887674,5912898.607668332
