Area Maximum,Valid Landslide,Latitude,Longitude,X Coordinate,Y Coordinate
200,1,-36.819859,174.746298,1755751.32,5923688.18
1,1,-36.798134,174.684934,1750320.3800000001,5926196.78
200,1,-36.932751,174.744548,1755366.36,5911166.22
1.2,1,-36.852885,174.792092,1759767.32,5919948.56
300,1,-36.809204,174.718141,1753261.08,5924915.819999999
400,1,-36.828798,174.774452,1758244.24,5922650.2
600,1,-36.806508,174.690836,1750830.53,5925258.359999999
82,1,-36.929127,174.70183,1751568.85,5911637.03
290,1,-36.729056,174.733944,1754831.96,5933782.31
200,1,-36.932751,174.744548,1755366.36,5911166.22
70,1,-36.930671,174.7356,1754573.56,5911411.53
300,1,-36.809761,174.718009,1753248.23,5924854.3
220,1,-36.911915,174.607494,1743198.55,5913692.52
150,1,-36.814291,174.713282,1752817.51,5924359.31
46,1,-36.823535,174.618476,1744343.1900000002,5923481.14
1.1,1,-36.616785,174.561835,1739665.23,5946501.95
46,1,-36.62694,174.522791,1736155.6600000001,5945431.430000001
46,1,-36.624394,174.517157,1735656.3900000001,5945721.94
1.1,1,-36.608993,174.509634,1735010.46,5947441.03
225,1,-36.624783,174.544033,1738058.94,5945640.46
1.1,1,-36.625821,174.518447,1735769.1800000002,5945561.79
225,1,-36.622221,174.519426,1735863.05,5945959.81
46,1,-36.623333,174.522023,1736093.37,5945832.68
225,1,-36.623376,174.523843,1736255.99,5945825.39
46,1,-36.620044,174.523236,1736207.6,5946195.84
1.1,1,-36.616358,174.524868,1736360.05,5946602.45
46,1,-36.620823,174.529734,1736787.35,5946100.22
46,1,-36.612766,174.564838,1739941.06,5946943.51
46,1,-36.765724,174.664973,1748602,5929823.6
225,1,-36.768025,174.6608,1748225.06,5929574.75
46,1,-36.768272,174.645939,1746898.22,5929570.31
46,1,-36.76848,174.645877,1746892.24,5929547.29
46,1,-36.768626,174.645636,1746870.42,5929531.45
225,1,-36.779877,174.665992,1748665.58,5928251.83
225,1,-36.779445,174.665259,1748601.05,5928300.87
225,1,-36.776245,174.661475,1748269.47,5928661.819999999
46,1,-36.77648,174.661782,1748296.49,5928635.22
46,1,-36.775504,174.630557,1745511.54,5928791.430000001
46,1,-36.775942,174.633164,1745743.3800000001,5928738.85
46,1,-36.781947,174.645609,1746842.61,5928053.659999999
46,1,-36.782731,174.645507,1746832.03,5927966.87
2,1,-36.807003,174.622226,1744708.76,5925309.49
9,1,-36.807022,174.622272,1744712.82,5925307.359999999
9,1,-36.807042,174.622378,1744722.28,5925304.99
46,1,-36.805733,174.611716,1743773.54,5925466.23
46,1,-36.792437,174.599676,1742724.1600000001,5926959.44
225,1,-36.793298,174.600145,1742764.37,5926863.13
46,1,-36.790439,174.591773,1742022.6800000002,5927192.8
9,1,-36.78887,174.59212,1742056.5,5927366.41
9,1,-36.789114,174.592042,1742049.09,5927339.42
225,1,-36.788806,174.591333,1741986.3900000001,5927374.609999999
46,1,-36.613445,174.564756,1739932.5,5946868.2
225,1,-36.621646,174.54964,1738565.92,5945980.319999999
46,1,-36.624693,174.544065,1738061.96,5945650.33
225,1,-36.624016,174.544646,1738115.1400000001,5945724.68
9,1,-36.623655,174.542724,1737943.8900000001,5945767.45
46,1,-36.623919,174.542617,1737933.83,5945738.35
1.1,1,-36.623856,174.543056,1737973.25,5945744.7
9,1,-36.627269,174.519268,1735840.1,5945399.95
9,1,-36.627228,174.519158,1735830.31,5945404.71
9,1,-36.627723,174.521834,1736068.7,5945345.970000001
225,1,-36.627625,174.523711,1736236.74,5945354.18
46,1,-36.626692,174.523302,1736201.82,5945458.24
46,1,-36.62727,174.522696,1736146.57,5945394.95
225,1,-36.625058,174.522058,1736093.46,5945641.25
9,1,-36.625314,174.522034,1736090.81,5945612.94
9,1,-36.625086,174.521411,1736035.51,5945639.13
9,1,-36.625024,174.521217,1736018.32,5945646.28
225,1,-36.624816,174.520867,1735987.36,5945669.819999999
46,1,-36.624625,174.519751,1735887.8800000001,5945692.58
225,1,-36.623076,174.529706,1736780.86,5945850.34
225,1,-36.622982,174.527665,1736598.5,5945863.64
46,1,-36.622369,174.519487,1735868.25,5945943.28
225,1,-36.621429,174.522814,1736167.46,5946042.79
225,1,-36.62057,174.522607,1736150.3900000001,5946138.44
1.1,1,-36.62084,174.524051,1736279.08,5946106.359999999
46,1,-36.620879,174.526229,1736473.75,5946098.99
9,1,-36.620669,174.527162,1736557.62,5946120.95
225,1,-36.621025,174.527291,1736568.47,5946081.26
46,1,-36.619171,174.533281,1737107.43,5946278.46
9,1,-36.619616,174.527902,1736625.61,5946236.74
46,1,-36.619305,174.529233,1736745.2,5946269.29
46,1,-36.619429,174.528956,1736720.23,5946255.95
9,1,-36.620627,174.529581,1736773.99,5946122.18
9,1,-36.620164,174.528753,1736700.75,5946174.67
9,1,-36.619872,174.528653,1736692.29,5946207.2700000005
46,1,-36.619765,174.528471,1736676.2,5946219.33
